笔记官方地址,笔记标题,预估阅读量,点赞数,收藏数,评论数,分享数,发布时间,链接地址,是否商业笔记,报备品牌企业号,提及品牌,是否参与付费推广
https://www.xiaohongshu.com/discovery/item/6a55d7f30000000008031d89?xsec_token=FB5rpAk9CJRdTqxp_kay-MK4ir91NQGott6FLZV9QyUCI=&xsec_source=app_share,你该换份工作，还是换种生活？,692,0,0,24,0,2026-07-15 15:00:17,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a54b083000000002103cf4f?xsec_token=FBK4kmlqmIsgGTWNAnT5OrJDFQIrm4oMaoYrOAVavmJOA=&xsec_source=app_share,你是真的想逃，还是只是太累了？,1768,2,2,60,0,2026-07-14 23:00:06,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a54aec00000000006035524?xsec_token=FBYumxYmjuzs9zm9-CRdqKekDC7DwCi3s8rZshSGUdbaI=&xsec_source=app_share,你该换赛道，还是换活法？,478,0,2,16,0,2026-07-14 18:25:02,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a50a4760000000006030cfb?xsec_token=FBwQDThFYHwMneNvzn9IDjK5zvrF15EAtf1oi5voqYQEU=&xsec_source=app_share,你该换公司，还是换一种过法？,606,0,0,21,0,2026-07-13 23:00:05,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a50a4260000000006021c0a?xsec_token=FBwiaWXbAoh6xP-EbA_eai5SHAcKvd4ndoI7poHA2iJd8=&xsec_source=app_share,你该换环境，还是换活法？｜32题深度自测,97,3,1,2,0,2026-07-13 15:00:13,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a50a0aa0000000007021ef5?xsec_token=FBJc90ji_vVY7T94HMjF1gTu8Vs25WUMCARYhlSUfmegs=&xsec_source=app_share,你是讨厌现在的工作，还是害怕现在的自己？,19,1,1,0,0,2026-07-12 21:30:07,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a509f68000000000803fb1c?xsec_token=FByREqiv4T7jKyUDqzic7gsH_MGfPXPDTVClzjL85go8A=&xsec_source=app_share,你该再撑一下，还是该放自己一马？,923,2,1,31,0,2026-07-12 12:01:04,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a509ee1000000002200bcaf?xsec_token=FB0RsgOa3wBANOYaGCWuytoSIuXoGGICpdy1AAo3IS87k=&xsec_source=app_share,你是想辞职，还是想被生活放过？,220,1,1,7,0,2026-07-11 12:01:14,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4fbad90000000007011c96?xsec_token=FBsFQhe9xc6IeLDYR4FVuDLE-obul33wekLYXFVhedLpI=&xsec_source=app_share,你的身体，在悄悄为你选择城市,66,2,2,1,0,2026-07-10 23:00:06,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4f698b0000000006035bd8?xsec_token=FBsFQhe9xc6IeLDYR4FVuDLAa7D0vciXhV5vuNAF6r9Bw=&xsec_source=app_share,你该换工作，还是换活法？,823,2,2,26,1,2026-07-10 18:30:34,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4fba450000000008024868?xsec_token=FBsFQhe9xc6IeLDYR4FVuDLMyTIJ-y8OzHuNYwduV_AbI=&xsec_source=app_share,原来“适合自己的城市”，身体早已替你选了！,222,3,4,3,2,2026-07-10 14:35:01,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4f6935000000002100927c?xsec_token=FBsFQhe9xc6IeLDYR4FVuDLBKvODaXQgBR_L6OmvXseGY=&xsec_source=app_share,你是想换个环境，还是想重新被看见？,632,3,3,20,0,2026-07-10 11:26:01,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4fb8f20000000007022181?xsec_token=FBsFQhe9xc6IeLDYR4FVuDLNsGEY3D4iUnSix2iIasueo=&xsec_source=app_share,测一测 | 原来你的身体早就帮你选好了城市,66,2,2,1,0,2026-07-10 07:13:00,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4cc95400000000070263bf?xsec_token=FBajQG4jZzhRQDBVeyAeUIaoEdj_dOBl5cm_tCFLWKyMc=&xsec_source=app_share,你是想换工作，还是想换一种活法？,1347,4,1,45,0,2026-07-08 21:17:00,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4b6f51000000002100a94e?xsec_token=FB5U-eYKg049KnCuIiNZWqmq-K66aXfQ_VED6x1tN8Xws=&xsec_source=app_share,你是工作太累，还是情绪太满？,29,0,0,1,0,2026-07-07 18:00:19,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4b6e640000000008032717?xsec_token=FBbYEgjOmimEeB0kJnWLHwA-qr7otMgjgUguWYrxESAOc=&xsec_source=app_share,换工作不如换活法？测完我沉默了,29,0,0,1,0,2026-07-07 12:01:04,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4641f0000000002103dbf6?xsec_token=FB_7FrGAOUwhjLIciBIQC5aIj-T8APr7bNDxWNdfBcGDw=&xsec_source=app_share,你是想辞职，还是只是太累了？,2275,5,3,75,1,2026-07-06 12:01:32,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a463dde000000002003856a?xsec_token=FBRXKungShn6hOg9-i_CtytAJ-hWC74gfproD8LGtoSl0=&xsec_source=app_share,你现在是阶段性迷茫，还是长期失去方向？,1047,3,0,34,1,2026-07-04 21:26:00,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a463da60000000006033223?xsec_token=FBRXKungShn6hOg9-i_CtytN3ATRVTMTua8aUaMAt36AQ=&xsec_source=app_share,你是真的不想上班，还是只是太久没休息了？,1125,0,0,39,0,2026-07-04 18:01:17,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4631c5000000000702996f?xsec_token=CBCxs2kwRppbUvN6y0DPPlj5K0VbcziMZ0gRRxstEwv78=&xsec_source=app_share,你是真的忙，还是不敢停下来？,231,2,1,7,0,2026-07-03 07:29:01,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a44e2d30000000008000fdc?xsec_token=FBaKO5WFz5kDMMD9xDSKWqe2NKvPpZx4iCWw4t-Jxuyds=&xsec_source=app_share,你是能力到顶了，还是只是待错了地方？,782,6,0,25,0,2026-07-02 07:30:13,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4122ba000000001c027eb8?xsec_token=FB5uQ2MYGJNRLDgUANRwD4ESoZWx0UeCQyD7dAMR2GmjY=&xsec_source=app_share,你是真的想辞职，还是只是被工作耗空了？,663,2,1,22,0,2026-06-29 18:30:29,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a3eb0ee000000001503d93d?xsec_token=FBJ-Z2QLqEnm56wyf9zty1kuwBSZxdmAhw0ObBVknQ8qg=&xsec_source=app_share,你处于哪一种的职场疲惫阶段？,1370,0,0,45,2,2026-06-28 21:04:00,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a3d44e2000000001603cf32?xsec_token=FBE2h4WC4Y3HstqJVS4czqtzP5C_AXPd7Xi79Cl_9emkc=&xsec_source=app_share,你是想改变，还是只是受够了现在？,326,0,1,11,0,2026-06-27 21:00:22,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a3d4484000000001503d43a?xsec_token=FBw7F8lj1WRSM9OgGjRqjOeKVjdNCDOTw3svqOMiZalvI=&xsec_source=app_share,你该换工作，还是先换状态？,169,0,3,5,0,2026-06-27 18:01:19,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a3d4420000000001c026aae?xsec_token=FBfNmj3cxIZj-kktbZ2J2WjxZ3eTCVnJfcQDR6TQTpfSw=&xsec_source=app_share,你是换工作，还是换活法？,463,5,1,14,0,2026-06-27 12:01:10,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a3bf16b000000001c026de5?xsec_token=FB8K0B4s13dlLanmpK5o0gwI6GgHi8fAdVh0q4ZuxwUx4=&xsec_source=app_share,你现在是短暂疲劳，还是长期倦怠？,2633,6,4,88,0,2026-06-25 21:01:00,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a3bf125000000001702c0fe?xsec_token=FB8K0B4s13dlLanmpK5o0gwD28OAm0CRepGmmINK29PYY=&xsec_source=app_share,你是努力型内耗，还是方向型内耗？,1174,2,0,40,0,2026-06-25 18:00:25,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a3be9240000000015024d4b?xsec_token=FB-rtdBoNbCxYhjN2v5AZoBDUnNgJvaAUpDAMJV67ZoIc=&xsec_source=app_share,你是换工作，还是换活法？,47,1,1,1,0,2026-06-25 12:01:17,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a3bf0d60000000017028c36?xsec_token=FBmq9_cVP_yTqfhr1j6I275-i-BYleukpWg1EKC4FYaFU=&xsec_source=app_share,你是真的没能力，还是只是没有动力了？,538,3,2,17,0,2026-06-25 07:26:01,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a394d0a000000000800357d?xsec_token=FBB1jT4MSps-ERzpFt2TtOrrULjabW-KTYcwSEdBIscFA=&xsec_source=app_share,你以为自己卡在工作，其实卡在了更深的一层,317,0,0,11,0,2026-06-23 12:01:13,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a394ccc0000000006023a19?xsec_token=FBB1jT4MSps-ERzpFt2TtOrvNUO0BN903jXR1Zul3puV8=&xsec_source=app_share,你不是舍不得离开，是根本没想清要去哪,548,2,1,18,0,2026-06-23 07:00:29,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a381d53000000002003ae54?xsec_token=FBU0G_7dbISMgAmELxLRz2XGO7kYli9yJTXrpkw1kMUAg=&xsec_source=app_share,当稳定变成不敢改变，你会发现吗？,29,0,0,1,0,2026-06-22 21:30:10,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a381a2f000000002100bf80?xsec_token=FBvMfUNd4EcGkl3EWrXGQ7yy6L1ZTl45FlmUrUDbbNsGs=&xsec_source=app_share,你讨厌的是公司，还是被工作占满的生活？,45,2,3,0,0,2026-06-22 18:30:26,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a36b073000000000603662c?xsec_token=FBPp1q1_rJic4XKq8uH2F3PFAfQ1Iq92HuPkzelTJmvmA=&xsec_source=app_share,你该证明自己，还是先救自己？,39,1,0,1,0,2026-06-21 22:00:11,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a36a8aa000000002200aae0?xsec_token=FBfZ3hxt5nrRPWtDnWyHnTJMuGshVIwnYG_NliIUthBD8=&xsec_source=app_share,你该换环境，还是换一种活法？,29,0,0,1,0,2026-06-21 18:01:16,--,否,--,[这是一个测试品牌],否
