笔记官方地址,笔记标题,预估阅读量,点赞数,收藏数,评论数,分享数,发布时间,链接地址,是否商业笔记,报备品牌企业号,提及品牌,是否参与付费推广
https://www.xiaohongshu.com/discovery/item/6a57ad480000000007028ae3?xsec_token=FBvuW7IM6MLdgDLt-ZtcEyWnxJeaJ6mStLOz4vxcZhxmE=&xsec_source=app_share&type=video,以为是道法，结果是律法啊,5817,464,28,7,18,2026-07-15 23:54:48,http://sns-video-qc.xhscdn.com/stream/79/110/258/01ea57ad486966ec4f0370019f667d2423_258.mp4?sign=750aa91d0939ee258310488199bb1694&t=6a5c519b,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a579d62000000001702b83c?xsec_token=FBvuW7IM6MLdgDLt-ZtcEyWgtPQGtQSGvrHsCkoK8g7hg=&xsec_source=app_share&type=video,我家没有地下室的含金量还在上升,40532,3577,105,65,35,2026-07-15 22:46:58,http://sns-video-v4.xhscdn.com/stream/79/110/258/01ea579d6258f0f54f0370019f663fa67d_258.mp4?sign=fd6427f1eb57d18966c7ce6be8c0b570&t=6a5c5111,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a5770390000000008027942?xsec_token=FBWQLQEouu2Uh4nQ6bk3YQRu8pRiF1LI8L1UT5qh9upcI=&xsec_source=app_share&type=video,不是，怎么还打复活赛啊（无不良引导）,7970,423,35,16,81,2026-07-15 19:34:17,http://sns-video-qc.xhscdn.com/stream/79/110/258/01ea57703a640b034f0370019f658eabe3_258.mp4?sign=f1058e4e5a764d4aa00c631a90dd1214&t=6a5c7d72,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a575cb9000000001003e52e?xsec_token=FBemnRbrP5hIISELlNC-9fPdayTwIZis_-GnNz2J6hFL0=&xsec_source=app_share&type=video,你养我小，我养你老，天经地义,6587,612,18,4,2,2026-07-15 18:11:05,http://sns-video-v6.xhscdn.com/stream/79/110/258/01ea575cb9696d6c4f0370019f6542d2c9_258.mp4?sign=bf9c412a6094d266b848bc27af440ede&t=6a5c5e1e,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a565aec0000000007022992?xsec_token=FBXag3q8jsnDlJ9KDF3jTE2wXPjMp-m6rneskR_eIz4MY=&xsec_source=app_share&type=video,世界最尊重肖像之人,2387,158,38,1,12,2026-07-14 23:51:08,http://sns-video-qc.xhscdn.com/stream/79/110/258/01ea565aec5d0ee54f0370019f615385aa_258.mp4?sign=1ab86f25e7118002eb3cd988475e6517&t=6a5bbcf0,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a562e80000000002200bee5?xsec_token=FBIz-Uo93yuowPOwJ-j6U_Z72pJJat-xlQBCwIYew801w=&xsec_source=app_share&type=video,订金和订金，一字之差，区别却很大,1125,84,15,0,4,2026-07-14 20:41:36,http://sns-video-qc.xhscdn.com/stream/79/110/258/01ea562e8058721d4f0370019f60a5e4de_258.mp4?sign=c3bc4f64df62b38ef7737bfb7aed27f9&t=6a5b4145,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a54fbbd0000000015027d5c?xsec_token=CBvB8j3qqJ65-fhApnYhAgarhnJzWcXr6P8TCtPBdRy8k=&xsec_source=app_share&type=video,利他式沟通就是有效啊,2037526,162611,9641,1127,7385,2026-07-13 22:52:45,http://sns-video-qc.xhscdn.com/stream/79/110/258/01ea54fbbd6990014f0370019f5bf7b898_258.mp4?sign=91232a7ca1238feeb190f2bde9779080&t=6a5cd70b,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a54d1480000000006032ef1?xsec_token=YBgEVpUw-qLeJaSVQzJmWFaBJ-DqxQEP7fQgS3xZaJOws=&xsec_source=app_share&type=video,怪不得让我们不要擅自联系外星人呢,3505,261,14,4,17,2026-07-13 19:51:36,http://sns-video-v6.xhscdn.com/stream/79/110/258/01ea54d1488a32c64f0370019f5b51d306_258.mp4?sign=5df202eddb81035e881769d3f7076578&t=6a5a1721,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a54bb95000000000f01eb25?xsec_token=FBdEqINnCAsV7ob6390G7vi5xrgvxMII8xrpQ_6oO5iPQ=&xsec_source=app_share&type=video,我们学的历史，是他的童年与青春啊,7272,661,23,4,6,2026-07-13 18:19:01,http://sns-video-qc.xhscdn.com/stream/79/110/258/01ea54bb978a12564f0370019f5afd2d20_258.mp4?sign=965748d17162b406efeccd5efba72012&t=6a59f805,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a521353000000000702c24d?xsec_token=FBhYc9oLHRc27el8ISfdEwuA0SAo9ZmcTpXpf7LU6PDQA=&xsec_source=app_share&type=video,第一次承认自己159,20895,1143,54,66,192,2026-07-11 17:56:35,http://sns-video-v2.xhscdn.com/stream/1/110/258/01ea5213534e4225010370019f509bc0f4_258.mp4?sign=74e43970b5c8f3f9097a97db85016dfc&t=6a57d94b,否,--,[蜜雪冰城],否
