笔记官方地址,笔记标题,预估阅读量,点赞数,收藏数,评论数,分享数,发布时间,链接地址,是否商业笔记,报备品牌企业号,提及品牌,是否参与付费推广
https://www.xiaohongshu.com/discovery/item/6a579f5a0000000016024628?xsec_token=YBaRzld5LifIkZqFU5Rc72mTF1IfnakyUWDzgI-G_R8f4=&xsec_source=app_share,选一把椅子，测出你的真实MBTI,19435,15,5,667,0,2026-07-15 22:55:22,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a577336000000001702f46c?xsec_token=FBhoT4isQuyXkM2FXyGwPfBLkCFIXwXu5s0KuHhYfrjqc=&xsec_source=app_share,老师偏头痛，以为没睡好，原来是躯体化,10,1,0,0,0,2026-07-15 19:47:02,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a575193000000001702cb4e?xsec_token=YBpic6mR_P0ReO-KhwoB8zJNN9IVltPwcidTko-h-z1dM=&xsec_source=app_share,测一测，你的个性对应哪位迪士尼童话公主？,2068,4,1,70,0,2026-07-15 17:23:31,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a5647cf000000001700895c?xsec_token=FBq-L2OjYSh6ASDYd_kWE0Za3EWL3bqcgebJclMmR_GcY=&xsec_source=app_share,你的隐性锋芒有多厉害！,2845,5,3,96,0,2026-07-14 22:29:35,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a560dba000000000f031e3d?xsec_token=FBNXrE_IWoj-L5kaK-6AcogwP7FicD4FqFhl_E0aNwobE=&xsec_source=app_share,你的精神内耗超标了吗？,0,0,0,0,0,2026-07-14 18:21:46,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a55025b000000001603d029?xsec_token=FBIXvA4v76CuPVwhMubPG2sIR2uGsfXbT8X4QpO9I1yAU=&xsec_source=app_share,你偏爱年上哥哥还是年下弟弟？,7018,10,1,237,2,2026-07-13 23:20:59,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a539cc00000000015025961?xsec_token=FB-8p_BroxfwYn9sRF3hFaSbRP0RUeRcoiCBW6rfeVhmk=&xsec_source=app_share,泪失禁速测！原来你爱哭根本不是矫情😭,1414,5,0,46,1,2026-07-12 21:55:12,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a50fb53000000001603e51f?xsec_token=CBipQSGC1DDxTQnKddERByxEl1xMGWgEszMM4ns1tYZCU=&xsec_source=app_share,身体潜意识测试✨测出适配你定居的城市,1156499,1170,299,38696,723,2026-07-10 22:01:55,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4f1a74000000001503c4bb?xsec_token=FBkHulP7ObCvC1e6rmdszrg7LVcjPis-6AvoNPBQiUDBI=&xsec_source=app_share,🔥5道题测出你的隐形气场｜MBTI准到扎心,2776,2,1,94,1,2026-07-09 11:50:12,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4e4373000000001503d80b?xsec_token=YBG1yOh8a6ZB1po48yjt0PXiZD0ZzEe8ZmNPb_Eg5oXx8=&xsec_source=app_share,30秒自测真实心动取向🔥测完直接看清自己,632,11,1,14,3,2026-07-08 20:32:51,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4d0ee6000000001c0266a0?xsec_token=FBPdU5EQQ3ChwJFBk4jHVgxXK9fyuIbh4cM1dvVW2qNGU=&xsec_source=app_share,1题测出！你这辈子正缘家境层次,2701,3,2,92,0,2026-07-07 22:36:22,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4ced1f000000001603c569?xsec_token=FB2yJ_dpLNtB6vWfy74SLC6qTMiNdIa2b3apLv9lB_xKQ=&xsec_source=app_share,超准潜意识测试！用4个词造句看穿你,2952,3,1,101,0,2026-07-07 20:12:15,--,否,--,[这是一个测试品牌],否
https://www.xiaohongshu.com/discovery/item/6a4b5dfa000000001c027fca?xsec_token=FBH87U2tVyEERgX0h9Vw5wAdu8ApgEMn_Nwv25w6bEcxg=&xsec_source=app_share,🔥5道题，看穿你骨子里的审美,553,1,2,17,1,2026-07-06 15:49:14,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a48f3f10000000016027019?xsec_token=CBqIhDrPNYqCvzQyTp20DPtTxASrGqL8V8-7YaiscS_hU=&xsec_source=app_share,体制内5道灵魂送命题，测清你的处事格局 没,200265,792,221,6257,275,2026-07-04 19:52:17,--,否,--,--,否
