笔记官方地址,笔记标题,预估阅读量,点赞数,收藏数,评论数,分享数,发布时间,链接地址,是否商业笔记,报备品牌企业号,提及品牌,是否参与付费推广
https://www.xiaohongshu.com/explore/6a52284f0000000006035926?xhsshare=CopyLink,每代人都有自己的思想钢印,2737,36,12,70,7,2026-07-11 19:26:07,--,否,--,--,否
https://www.xiaohongshu.com/explore/6a50d23f00000000070116ec?xhsshare=CopyLink,职场会接话的重要性（同事篇）,1124,54,31,1,8,2026-07-10 19:06:39,--,否,--,--,否
https://www.xiaohongshu.com/explore/6a4f671600000000060325d1?xhsshare=CopyLink,摩羯座喜欢的类型,3069,37,17,14,60,2026-07-09 17:17:10,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4e2a9b000000000702fe54?xsec_token=FBl1s_HfuaP4Yl8H7JtvYtmO7GNdi1XtIsla51E_d0-SE=&xsec_source=app_share,其实世界就是个巨大的草台班子,908,38,17,1,11,2026-07-08 18:46:51,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4c50070000000008030c4b?xsec_token=FBte9pPRWre6BLFoRyFSVwogBvzXl_QObv7rQinqLKoJU=&xsec_source=app_share,什么样的家庭孩子最幸福呢？,1041,48,22,5,24,2026-07-07 09:01:59,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4aed4e00000000060315fd?xsec_token=FBzvtVMCW6V6PZaOfSyp-Gmy1q7hmyAHegDCU6TZjDQbo=&xsec_source=app_share,职场会接话的重要性,108846,1168,574,47,61,2026-07-06 07:48:30,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4a2954000000002200b7f8?xsec_token=FBazcPALhfNT_0a8toJnUn2qyKoFfzl0ukP3Si_ehYyoI=&xsec_source=app_share,你不能只知道家和万事兴、要知道它的前三句,2149,127,67,3,41,2026-07-05 17:52:20,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a46420f000000000702227e?xsec_token=FBDP8jSSICTp7GtEt--wkmXET1z8PQa68xT1G704xnIsk=&xsec_source=app_share,不再内耗 突然被这段话治愈,603,36,20,1,9,2026-07-02 18:48:47,--,否,--,--,否
https://www.xiaohongshu.com/explore/6a45b3560000000008000372?xhsshare=CopyLink,职场中会接话的重要性（同事篇）,775,44,35,0,1,2026-07-02 08:39:50,--,否,--,--,否
https://www.xiaohongshu.com/explore/6a44e5c4000000000702ff35?xhsshare=CopyLink,太通透了 凡事只当历练,566,29,11,0,5,2026-07-01 18:02:44,--,否,--,--,否
https://www.xiaohongshu.com/explore/6a4387c400000000080325f6?xhsshare=CopyLink,人生主线：先把自己养好,1074,34,27,10,6,2026-06-30 17:09:24,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a43228f0000000007025300?xsec_token=FBbIlMAZBZqasC7BgksvF-eTStbzdZicJKGv2CGTCVonw=&xsec_source=app_share,突然理解了 挥霍和珍惜其实是同一件事,1142,79,28,3,24,2026-06-30 09:57:35,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a4238db0000000007013a37?xsec_token=FBeYiqxJ0Gpl62vzvyng3P15Pe6fgwtMAvsKvaaGZElDA=&xsec_source=app_share,职场中：当你发现自己已经升不上去时,151186,3994,2446,384,4405,2026-06-29 17:20:27,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a3f92940000000020039a9a?xsec_token=FBVVJ5cbsB2tjosPCTk824Gl_3tWf8f4M7jKhCTuyAkq4=&xsec_source=app_share,宁可自己受苦 也不愿别人吃亏,979,41,11,3,4,2026-06-27 17:06:28,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a3e434c000000000803c8ac?xsec_token=FBsoliP8PGKhk6S9SoIQAFrjLohrQrSmscC4-0liUvAQo=&xsec_source=app_share,见面5分钟 800个人身败名裂,38571,377,154,53,892,2026-06-26 17:15:56,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a3de09d0000000006037bd9?xsec_token=FBBf5ySL2NjidcX61uF-OE_NKpkh4SBIEA3hKx831mSYM=&xsec_source=app_share,早日赎身去过属于你自己的自由生活,199582,7212,3292,703,4487,2026-06-26 10:14:53,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a3ced18000000000803c47b?xsec_token=FB3etac26iCJi5mH1meQM326HwpcL_SVelpn75O1xcZ9w=&xsec_source=app_share,职场中会做事的重要性,681,62,49,2,11,2026-06-25 16:55:52,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a3a5470000000002103f90c?xsec_token=FBGUKVZmFC_OycUbPxEQ9kuYEWvSHYwjub_wwZY6z8j1g=&xsec_source=app_share,我姑奶奶生了三个孩子、被他们像踢皮球一样,1265,22,8,27,2,2026-06-23 17:40:00,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a3922920000000021017a26?xsec_token=FBb3y9_f5EC1mP3nXJt2MsSlfCz0Q2VVdj6kTDYaKiLgQ=&xsec_source=app_share,每代人都有属于自己独特的爱,1845,288,108,22,159,2026-06-22 19:54:58,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a3678f3000000000803d0cd?xsec_token=FBfcHLdaEUQk2zB6vcGg7B8DEww0TYu5LwtO7oAP5H3gg=&xsec_source=app_share,职场中要懂的事 受益终身,1437,293,168,4,54,2026-06-20 19:26:43,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a351afd0000000006037c27?xsec_token=FB1UVonofNePHevKDzUyn3UY3JdSbNQ3yy1ZswrFUYuqU=&xsec_source=app_share,现在每个公司的牛马 都有一条狗管着,126609,954,371,220,3003,2026-06-19 18:33:33,--,否,--,--,否
https://www.xiaohongshu.com/discovery/item/6a328d8200000000060343fb?xsec_token=FB3eHoYcI2LgFe4cPG9qa7wR95mDo2Z8YxXe-QBJzQ2zg=&xsec_source=app_share,职场中与不同人打交道的正确方法,89170,69,43,2,18,2026-06-17 20:05:22,--,否,--,--,否
